01A,2,2x5,abstrakt,1und1 DRI,65.538.000,2019
02A,2,2x5,abstrakt,1und1 DRI,65.538.000,2019
03A,2,2x5,abstrakt,Vodafone,65.514.000,2019
04A,2,2x5,abstrakt,Telekom,65.514.000,2019
05A,2,2x5,abstrakt,Vodafone,65.555.000,2019
06A,2,2x5,abstrakt,Vodafone,67.140.000,2019
07A,2,2x5,abstrakt,Telekom,64.851.000,2019
08A,2,2x5,abstrakt,Telekom,64.851.000,2019
09A,2,2x5,abstrakt,TEF DE,33.547.000,2026
10A,2,2x5,abstrakt,1und1 DRI,32.527.000,2026
11A,2,2x5,abstrakt,TEF DE,31.621.000,2026
12A,2,2x5,abstrakt,TEF DE,38.261.000,2026
01K,3.6,1x20,konkret,-,0,2019
02A,3.6,1x10,abstrakt,Telekom,13.823.000,2019
03A,3.6,1x10,abstrakt,1und1 DRI,12.567.000,2019
04A,3.6,1x10,abstrakt,Vodafone,12.567.000,2019
05A,3.6,1x10,abstrakt,1und1 DRI,12.626.000,2019
06A,3.6,1x10,abstrakt,Vodafone,12.626.000,2019
07A,3.6,1x10,abstrakt,1und1 DRI,12.611.000,2019
08A,3.6,1x10,abstrakt,TEF DE,13.615.000,2019
09A,3.6,1x10,abstrakt,TEF DE,13.661.000,2019
10A,3.6,1x10,abstrakt,Telekom,12.552.000,2019
11A,3.6,1x10,abstrakt,Telekom,12.552.000,2019
12A,3.6,1x10,abstrakt,Vodafone,13.807.000,2019
13A,3.6,1x10,abstrakt,TEF DE,13.620.000,2019
14A,3.6,1x10,abstrakt,TEF DE,13.596.000,2019
15A,3.6,1x10,abstrakt,TEF DE,13.622.000,2019
16A,3.6,1x10,abstrakt,Telekom,13.807.000,2019
17A,3.6,1x10,abstrakt,-,0,2019
18A,3.6,1x10,abstrakt,-,0,2019
19A,3.6,1x10,abstrakt,-,0,2019
20A,3.6,1x10,abstrakt,TEF DE,26.842.000,2019
21A,3.6,1x10,abstrakt,TEF DE,26.002.000,2019
22A,3.6,1x10,abstrakt,Vodafone,26.002.000,2019
23A,3.6,1x10,abstrakt,Vodafone,26.002.000,2019
24A,3.6,1x10,abstrakt,Vodafone,23.870.000,2019
25A,3.6,1x10,abstrakt,Vodafone,23.870.000,2019
26A,3.6,1x10,abstrakt,TEF DE,23.890.000,2019
27A,3.6,1x10,abstrakt,Telekom,26.279.000,2019
28A,3.6,1x10,abstrakt,Telekom,26.279.000,2019
29K,3.6,1x10,konkret,Telekom,23.870.000,2019
